subject,conceptId,gradeBand,gradeableProbes,needed
chem,chem.sol.activity,UNDERGRADUATE,4,1
chem,chem.sol.colligative,HIGH,4,1
chem,chem.sol.osmosis,HIGH,3,2
chem,chem.sol.solubility,HIGH,3,2
chem,chem.sol.types,HIGH,4,1
chem,chem.sol.vapour-pressure,HIGH,3,2
chem,chem.solid.amorphous,HIGH,3,2
chem,chem.solid.crystal-systems,UNDERGRADUATE,4,1
chem,chem.solid.defects,UNDERGRADUATE,4,1
chem,chem.solid.ionic-solids,UNDERGRADUATE,3,2
chem,chem.solid.packing,UNDERGRADUATE,3,2
chem,chem.solid.properties,UNDERGRADUATE,4,1
chem,chem.state.gas-laws,HIGH,3,2
chem,chem.state.kinetic-theory,HIGH,3,2
chem,chem.state.liquids,HIGH,3,2
chem,chem.state.molar-mass-gas,HIGH,3,2
chem,chem.state.phase-diagram,HIGH,3,2
chem,chem.state.real-gases,HIGH,3,2
chem,chem.surface.adsorption,HIGH,3,2
chem,chem.surface.colloids,HIGH,3,2
chem,chem.surface.emulsions,HIGH,3,2
chem,chem.surface.heterogeneous-cat,UNDERGRADUATE,3,2
chem,chem.surface.surfactants,HIGH,3,2
chem,chem.thermo.bond-enthalpy,HIGH,4,1
chem,chem.thermo.cell-thermo,UNDERGRADUATE,4,1
chem,chem.thermo.entropy,HIGH,4,1
chem,chem.thermo.first-law,HIGH,3,2
chem,chem.thermo.heat-capacities,HIGH,4,1
chem,chem.thermo.system,HIGH,4,1
chem,chem.thermo.third-law,UNDERGRADUATE,4,1
